Mes_Pasta,Estacao,Arquivo,DOY,Data,Mes_Arquivo
INVERNO,UFPR,ufpr210_delays.txt,210,2020-07-28,July
INVERNO,UFPR,ufpr204_delays.txt,204,2020-07-22,July
INVERNO,UFPR,ufpr188_delays.txt,188,2020-07-06,July
INVERNO,UFPR,ufpr197_delays.txt,197,2020-07-15,July
INVERNO,UFPR,ufpr211_delays.txt,211,2020-07-29,July
INVERNO,UFPR,ufpr183_delays.txt,183,2020-07-01,July
INVERNO,UFPR,ufpr194_delays.txt,194,2020-07-12,July
INVERNO,UFPR,ufpr186_delays.txt,186,2020-07-04,July
INVERNO,UFPR,ufpr189_delays.txt,189,2020-07-07,July
INVERNO,UFPR,ufpr202_delays.txt,202,2020-07-20,July
INVERNO,UFPR,ufpr200_delays.txt,200,2020-07-18,July
INVERNO,UFPR,ufpr201_delays.txt,201,2020-07-19,July
INVERNO,UFPR,ufpr206_delays.txt,206,2020-07-24,July
INVERNO,UFPR,ufpr203_delays.txt,203,2020-07-21,July
INVERNO,UFPR,ufpr192_delays.txt,192,2020-07-10,July
INVERNO,UFPR,ufpr198_delays.txt,198,2020-07-16,July
INVERNO,UFPR,ufpr199_delays.txt,199,2020-07-17,July
INVERNO,UFPR,ufpr207_delays.txt,207,2020-07-25,July
INVERNO,UFPR,ufpr185_delays.txt,185,2020-07-03,July
INVERNO,NAUS,naus201_delays.txt,201,2020-07-19,July
INVERNO,NAUS,naus187_delays.txt,187,2020-07-05,July
INVERNO,NAUS,naus189_delays.txt,189,2020-07-07,July
INVERNO,NAUS,naus191_delays.txt,191,2020-07-09,July
INVERNO,NAUS,naus205_delays.txt,205,2020-07-23,July
INVERNO,NAUS,naus192_delays.txt,192,2020-07-10,July
INVERNO,NAUS,naus190_delays.txt,190,2020-07-08,July
INVERNO,NAUS,naus199_delays.txt,199,2020-07-17,July
INVERNO,NAUS,naus193_delays.txt,193,2020-07-11,July
INVERNO,NAUS,naus211_delays.txt,211,2020-07-29,July
INVERNO,NAUS,naus196_delays.txt,196,2020-07-14,July
INVERNO,NAUS,naus209_delays.txt,209,2020-07-27,July
INVERNO,NAUS,naus185_delays.txt,185,2020-07-03,July
INVERNO,NAUS,naus213_delays.txt,213,2020-07-31,July
INVERNO,NAUS,naus188_delays.txt,188,2020-07-06,July
INVERNO,NAUS,naus210_delays.txt,210,2020-07-28,July
INVERNO,NAUS,naus206_delays.txt,206,2020-07-24,July
INVERNO,NAUS,naus194_delays.txt,194,2020-07-12,July
INVERNO,NAUS,naus200_delays.txt,200,2020-07-18,July
INVERNO,NAUS,naus202_delays.txt,202,2020-07-20,July
INVERNO,NAUS,naus184_delays.txt,184,2020-07-02,July
INVERNO,NAUS,naus186_delays.txt,186,2020-07-04,July
INVERNO,NAUS,naus198_delays.txt,198,2020-07-16,July
INVERNO,NAUS,naus204_delays.txt,204,2020-07-22,July
INVERNO,NAUS,naus207_delays.txt,207,2020-07-25,July
INVERNO,NAUS,naus208_delays.txt,208,2020-07-26,July
INVERNO,NAUS,naus203_delays.txt,203,2020-07-21,July
INVERNO,NAUS,naus195_delays.txt,195,2020-07-13,July
